Variable,Item,Valid_n,Mean,SD,Never_percent,Rarely_percent,Sometimes_percent,Often_percent,Always_percent
F15r1,Reforestation of previously deforested areas,923,3.63,0.92,1.73,8.23,33.15,39.33,17.55
F15r10,Improving forest connectivity,675,2.97,1.17,10.96,25.93,29.19,23.11,10.81
F15r11,Improving forest access for recreation,915,3.42,1,2.95,14.64,34.86,33.01,14.54
F15r12,Restricting the harvesting of forest products,651,3.09,1.07,6.45,23.2,35.64,24.58,10.14
F15r13,Reducing fuel loads to minimise fire risk,718,3.15,1.07,5.43,22.56,34.96,25.49,11.56
F15r14,Changing the type of forest management,681,3.21,1.05,5.14,19.09,37.15,26.43,12.19
F15r2,Reforestation of fallow agricultural land,828,3.12,1.02,5.92,21.38,35.39,29.47,7.85
F15r3,Reforestation after natural disasters,868,3.51,1.06,3.46,13.94,30.18,33.06,19.35
F15r4,Re-introduction of native tree species,836,3.56,0.94,1.91,10.41,33.01,38.64,16.03
F15r5,Re-introduction of native animal species,795,3.1,1.07,5.66,25.16,34.21,23.77,11.19
F15r6,Removal of invasive species,833,3.45,1.01,3.6,12.85,33.73,35.05,14.77
F15r7,Introduction of fire breaks,661,2.77,1.25,19.36,24.05,27.53,18.76,10.29
F15r8,Retention of deadwood,917,3.75,0.93,1.53,8.07,25.08,44.06,21.26
F15r9,Replanting a mix of tree species,829,3.56,0.94,2.17,9.41,34.86,37.76,15.8
