"Outcome_variable","Outcome_label","Predictor_variable","Predictor_label"
"Ecosystem_Services_Index","Perceived importance of ecosystem services","Education_group","Educational attainment"
"Ecosystem_Services_Index","Perceived importance of ecosystem services","Environmental_organisation","Forest- or environment-related organisation membership"
"Ecosystem_Services_Index","Perceived importance of ecosystem services","Environmental_profession","Forest- or environment-related profession"
"Ecosystem_Services_Index","Perceived importance of ecosystem services","Forest_owner","Forest ownership"
"Ecosystem_Services_Index","Perceived importance of ecosystem services","Forest_visit_group","Frequency of forest visits"
"Ecosystem_Services_Index","Perceived importance of ecosystem services","Gender","Gender"
"Ecosystem_Services_Index","Perceived importance of ecosystem services","Restoration_awareness","Awareness of local restoration programmes"
"Ecosystem_Services_Index","Perceived importance of ecosystem services","Social_proximity_to_owner","Social proximity to forest ownership"
"Ecosystem_Services_Index","Perceived importance of ecosystem services","Travel_time_group","Travel time to forest"
"Expected_Outcomes_Index","Expected restoration outcomes","Education_group","Educational attainment"
"Expected_Outcomes_Index","Expected restoration outcomes","Environmental_organisation","Forest- or environment-related organisation membership"
"Expected_Outcomes_Index","Expected restoration outcomes","Environmental_profession","Forest- or environment-related profession"
"Expected_Outcomes_Index","Expected restoration outcomes","Forest_owner","Forest ownership"
"Expected_Outcomes_Index","Expected restoration outcomes","Forest_visit_group","Frequency of forest visits"
"Expected_Outcomes_Index","Expected restoration outcomes","Gender","Gender"
"Expected_Outcomes_Index","Expected restoration outcomes","Restoration_awareness","Awareness of local restoration programmes"
"Expected_Outcomes_Index","Expected restoration outcomes","Social_proximity_to_owner","Social proximity to forest ownership"
"Expected_Outcomes_Index","Expected restoration outcomes","Travel_time_group","Travel time to forest"
"Public_Support_Index","Public support for restoration","Education_group","Educational attainment"
"Public_Support_Index","Public support for restoration","Environmental_organisation","Forest- or environment-related organisation membership"
"Public_Support_Index","Public support for restoration","Environmental_profession","Forest- or environment-related profession"
"Public_Support_Index","Public support for restoration","Forest_owner","Forest ownership"
"Public_Support_Index","Public support for restoration","Forest_visit_group","Frequency of forest visits"
"Public_Support_Index","Public support for restoration","Gender","Gender"
"Public_Support_Index","Public support for restoration","Restoration_awareness","Awareness of local restoration programmes"
"Public_Support_Index","Public support for restoration","Social_proximity_to_owner","Social proximity to forest ownership"
"Public_Support_Index","Public support for restoration","Travel_time_group","Travel time to forest"
"Restoration_Implementation_Index","Perceived restoration implementation","Education_group","Educational attainment"
"Restoration_Implementation_Index","Perceived restoration implementation","Environmental_organisation","Forest- or environment-related organisation membership"
"Restoration_Implementation_Index","Perceived restoration implementation","Environmental_profession","Forest- or environment-related profession"
"Restoration_Implementation_Index","Perceived restoration implementation","Forest_owner","Forest ownership"
"Restoration_Implementation_Index","Perceived restoration implementation","Forest_visit_group","Frequency of forest visits"
"Restoration_Implementation_Index","Perceived restoration implementation","Gender","Gender"
"Restoration_Implementation_Index","Perceived restoration implementation","Restoration_awareness","Awareness of local restoration programmes"
"Restoration_Implementation_Index","Perceived restoration implementation","Social_proximity_to_owner","Social proximity to forest ownership"
"Restoration_Implementation_Index","Perceived restoration implementation","Travel_time_group","Travel time to forest"
