"Outcome","Explanatory_variable","Group","n","Mean (SD)","95% CI","Mean","SD","SE","CI_lower","CI_upper"
"Perceived importance of ecosystem services","Educational attainment","School-level or other education",116,"7.86 (1.68)","7.55 to 8.17",7.857758620689655,1.68383430776665,0.15634009060742507,7.548078990237599,8.16743825114171
"Perceived importance of ecosystem services","Educational attainment","Professional/vocational training",606,"8.33 (1.41)","8.22 to 8.45",8.333952145214521,1.4090877182440187,0.05724027577791914,8.22153837878357,8.446365911645472
"Perceived importance of ecosystem services","Educational attainment","University",365,"8.18 (1.30)","8.04 to 8.31",8.176369863013699,1.3024101338601342,0.06817126210863168,8.04231090095878,8.310428825068618
"Perceived importance of ecosystem services","Forest- or environment-related organisation membership","Not a member",931,"8.30 (1.32)","8.22 to 8.39",8.301288936627284,1.3157905564598322,0.04312329373288389,8.216658692990917,8.38591918026365
"Perceived importance of ecosystem services","Forest- or environment-related organisation membership","Member",156,"7.81 (1.84)","7.51 to 8.10",7.806089743589743,1.8413537529510808,0.14742628848106254,7.514865750545034,8.097313736634451
"Perceived importance of ecosystem services","Forest- or environment-related profession","No related profession",991,"8.31 (1.32)","8.23 to 8.39",8.30739152371342,1.3176521942987058,0.041856601401308334,8.225253673609124,8.389529373817716
"Perceived importance of ecosystem services","Forest- or environment-related profession","Related profession",96,"7.43 (2.01)","7.03 to 7.84",7.43359375,2.007219955314603,0.20486102883553456,7.026893186925086,7.840294313074914
"Perceived importance of ecosystem services","Forest ownership","Yes",74,"7.70 (2.00)","7.24 to 8.17",7.702702702702703,1.9954681857315009,0.23196846477969998,7.2403902190996785,8.165015186305727
"Perceived importance of ecosystem services","Forest ownership","No",1013,"8.27 (1.35)","8.19 to 8.35",8.268756169792695,1.3541196229779442,0.042545370397779295,8.185268926376123,8.352243413209267
"Perceived importance of ecosystem services","Frequency of forest visits","Less than monthly",251,"8.07 (1.43)","7.89 to 8.24",8.0652390438247,1.4314465909105645,0.0903521076516179,7.887290712962624,8.243187374686777
"Perceived importance of ecosystem services","Frequency of forest visits","Monthly",434,"8.12 (1.47)","7.98 to 8.26",8.122695852534562,1.4680470411852866,0.07046851300539096,7.984192967043507,8.261198738025618
"Perceived importance of ecosystem services","Frequency of forest visits","Weekly or more often",402,"8.45 (1.31)","8.32 to 8.58",8.44931592039801,1.3134890875972998,0.06551088138769015,8.32052824472599,8.578103596070031
"Perceived importance of ecosystem services","Gender","Female",547,"8.34 (1.39)","8.23 to 8.46",8.343464351005485,1.3850488678746367,0.05922041322548723,8.227136610334107,8.459792091676864
"Perceived importance of ecosystem services","Gender","Male",540,"8.12 (1.43)","7.99 to 8.24",8.11550925925926,1.433027617983329,0.06166768999005242,7.994370793108902,8.23664772540962
"Perceived importance of ecosystem services","Awareness of local restoration programmes","Yes",289,"8.22 (1.62)","8.03 to 8.40",8.21712802768166,1.621524291736293,0.09538378186684077,8.029390313218945,8.404865742144375
"Perceived importance of ecosystem services","Awareness of local restoration programmes","No",798,"8.23 (1.33)","8.14 to 8.33",8.234962406015038,1.3306071664688253,0.047102983099427016,8.142501843967215,8.32742296806286
"Perceived importance of ecosystem services","Social proximity to forest ownership","Yes",245,"8.31 (1.50)","8.13 to 8.50",8.314285714285713,1.497290927959834,0.09565840848605513,8.125864095444054,8.502707333127372
