"Outcome","Explanatory_variable","Group","n","Mean (SD)","95% CI"
"Perceived importance of ecosystem services","Educational attainment","School-level or other education",116,"7.86 (1.68)","7.55 to 8.17"
"Perceived importance of ecosystem services","Educational attainment","Professional/vocational training",606,"8.33 (1.41)","8.22 to 8.45"
"Perceived importance of ecosystem services","Educational attainment","University",365,"8.18 (1.30)","8.04 to 8.31"
"Perceived importance of ecosystem services","Forest- or environment-related organisation membership","Not a member",931,"8.30 (1.32)","8.22 to 8.39"
"Perceived importance of ecosystem services","Forest- or environment-related organisation membership","Member",156,"7.81 (1.84)","7.51 to 8.10"
"Perceived importance of ecosystem services","Forest- or environment-related profession","No related profession",991,"8.31 (1.32)","8.23 to 8.39"
"Perceived importance of ecosystem services","Forest- or environment-related profession","Related profession",96,"7.43 (2.01)","7.03 to 7.84"
"Perceived importance of ecosystem services","Forest ownership","Yes",74,"7.70 (2.00)","7.24 to 8.17"
"Perceived importance of ecosystem services","Forest ownership","No",1013,"8.27 (1.35)","8.19 to 8.35"
"Perceived importance of ecosystem services","Frequency of forest visits","Less than monthly",251,"8.07 (1.43)","7.89 to 8.24"
"Perceived importance of ecosystem services","Frequency of forest visits","Monthly",434,"8.12 (1.47)","7.98 to 8.26"
"Perceived importance of ecosystem services","Frequency of forest visits","Weekly or more often",402,"8.45 (1.31)","8.32 to 8.58"
"Perceived importance of ecosystem services","Gender","Female",547,"8.34 (1.39)","8.23 to 8.46"
"Perceived importance of ecosystem services","Gender","Male",540,"8.12 (1.43)","7.99 to 8.24"
"Perceived importance of ecosystem services","Awareness of local restoration programmes","Yes",289,"8.22 (1.62)","8.03 to 8.40"
"Perceived importance of ecosystem services","Awareness of local restoration programmes","No",798,"8.23 (1.33)","8.14 to 8.33"
"Perceived importance of ecosystem services","Social proximity to forest ownership","Yes",245,"8.31 (1.50)","8.13 to 8.50"
"Perceived importance of ecosystem services","Social proximity to forest ownership","No",725,"8.24 (1.34)","8.14 to 8.34"
"Perceived importance of ecosystem services","Social proximity to forest ownership","Don`t know",117,"8.01 (1.66)","7.70 to 8.31"
"Perceived importance of ecosystem services","Travel time to forest","Under 10 minutes",473,"8.25 (1.39)","8.13 to 8.38"
"Perceived importance of ecosystem services","Travel time to forest","10–30 minutes",510,"8.26 (1.40)","8.14 to 8.38"
"Perceived importance of ecosystem services","Travel time to forest","More than 30 minutes",104,"7.97 (1.54)","7.67 to 8.27"
"Expected restoration outcomes","Educational attainment","School-level or other education",94,"3.75 (0.70)","3.61 to 3.90"
"Expected restoration outcomes","Educational attainment","Professional/vocational training",490,"3.86 (0.65)","3.80 to 3.91"
"Expected restoration outcomes","Educational attainment","University",289,"3.91 (0.59)","3.84 to 3.98"
"Expected restoration outcomes","Forest- or environment-related organisation membership","Not a member",728,"3.88 (0.63)","3.83 to 3.92"
"Expected restoration outcomes","Forest- or environment-related organisation membership","Member",145,"3.78 (0.63)","3.68 to 3.89"
"Expected restoration outcomes","Forest- or environment-related profession","No related profession",780,"3.87 (0.63)","3.83 to 3.92"
