"Outcome","Explanatory_variable","Valid_n","Test","Test_result","p_value_display","p_FDR_display","Effect_display","Significant_raw","Significant_FDR"
"Perceived importance of ecosystem services","Educational attainment",1087,"Welch ANOVA","F(2.00, 300.88) = 4.76","0.009","0.030","η² = 0.011","Yes","Yes"
"Perceived importance of ecosystem services","Forest- or environment-related organisation membership",1087,"Welch t-test","t(182.44) = 3.22","0.001","0.008","d = 0.309 [0.118, 0.500]","Yes","Yes"
"Perceived importance of ecosystem services","Forest- or environment-related profession",1087,"Welch t-test","t(103.08) = 4.18","<0.001","<0.001","d = 0.515 [0.262, 0.765]","Yes","Yes"
"Perceived importance of ecosystem services","Forest ownership",1087,"Welch t-test","t(77.99) = -2.40","0.019","0.056","d = -0.332 [-0.607, -0.055]","Yes","No"
"Perceived importance of ecosystem services","Frequency of forest visits",1087,"One-way ANOVA","F(2, 1084) = 7.90","<0.001","0.002","η² = 0.014","Yes","Yes"
"Perceived importance of ecosystem services","Gender",1087,"Independent-samples t-test","t(1085.00) = 2.67","0.008","0.028","d = 0.162 [0.043, 0.281]","Yes","Yes"
"Perceived importance of ecosystem services","Awareness of local restoration programmes",1087,"Welch t-test","t(436.22) = -0.17","0.867","0.892","d = -0.012 [-0.153, 0.129]","No","No"
"Perceived importance of ecosystem services","Social proximity to forest ownership",1087,"One-way ANOVA","F(2, 1084) = 1.89","0.152","0.211","η² = 0.003","No","No"
"Perceived importance of ecosystem services","Travel time to forest",1087,"One-way ANOVA","F(2, 1084) = 1.92","0.147","0.211","η² = 0.004","No","No"
"Expected restoration outcomes","Educational attainment",873,"Welch ANOVA","F(2.00, 248.36) = 2.07","0.128","0.211","η² = 0.005","No","No"
"Expected restoration outcomes","Forest- or environment-related organisation membership",873,"Independent-samples t-test","t(871.00) = 1.62","0.105","0.198","d = 0.148 [-0.031, 0.326]","No","No"
"Expected restoration outcomes","Forest- or environment-related profession",873,"Independent-samples t-test","t(871.00) = 1.51","0.132","0.211","d = 0.165 [-0.050, 0.380]","No","No"
"Expected restoration outcomes","Forest ownership",873,"Independent-samples t-test","t(871.00) = -2.18","0.030","0.082","d = -0.279 [-0.530, -0.027]","Yes","No"
"Expected restoration outcomes","Frequency of forest visits",873,"One-way ANOVA","F(2, 870) = 2.20","0.111","0.200","η² = 0.005","No","No"
"Expected restoration outcomes","Gender",873,"Welch t-test","t(833.58) = 0.56","0.579","0.695","d = 0.038 [-0.095, 0.171]","No","No"
