"Outcome","Explanatory_variable","Valid_n","Groups","Levene_F","Levene_p","Variance_assumption","Test","Statistic","df1","df2","p_value","Effect_size","Effect_value","Effect_CI_lower","Effect_CI_upper","Levene_p_display","p_value_display"
"Perceived importance of ecosystem services","Educational attainment",1087,3,5.632,0.0036881107686413104,"Unequal","Welch ANOVA",4.761,2,300.879,0.009216163715304426,"Eta squared",0.011,0.002,1,"0.004","0.009"
"Perceived importance of ecosystem services","Forest- or environment-related organisation membership",1087,2,26.51,3.110896170885967e-7,"Unequal","Welch t-test",3.224,182.436,,0.0014984247516793485,"Cohen's d",0.309,0.118,0.5,"<0.001","0.001"
"Perceived importance of ecosystem services","Forest- or environment-related profession",1087,2,38.469,7.8974819535242e-10,"Unequal","Welch t-test",4.179,103.08,,6.150050993594574e-5,"Cohen's d",0.515,0.262,0.765,"<0.001","<0.001"
"Perceived importance of ecosystem services","Forest ownership",1087,2,24.171,1.017262409340086e-6,"Unequal","Welch t-test",-2.4,77.988,,0.018771085284546338,"Cohen's d",-0.332,-0.607,-0.055,"<0.001","0.019"
"Perceived importance of ecosystem services","Frequency of forest visits",1087,3,2.553,0.07829710015940436,"Homogeneous","One-way ANOVA",7.899,2,1084,3.9302172972206095e-4,"Eta squared",0.014,0.004,1,"0.078","<0.001"
"Perceived importance of ecosystem services","Gender",1087,2,0.779,0.3776141361008285,"Homogeneous","Independent-samples t-test",2.667,1085,,0.00777213603826724,"Cohen's d",0.162,0.043,0.281,"0.378","0.008"
"Perceived importance of ecosystem services","Awareness of local restoration programmes",1087,2,6.924,0.008623552722848642,"Unequal","Welch t-test",-0.168,436.219,,0.8669383230629948,"Cohen's d",-0.012,-0.153,0.129,"0.009","0.867"
"Perceived importance of ecosystem services","Social proximity to forest ownership",1087,3,2.818,0.06015269819648099,"Homogeneous","One-way ANOVA",1.886,2,1084,0.15214693704913015,"Eta squared",0.003,0,1,"0.060","0.152"
"Perceived importance of ecosystem services","Travel time to forest",1087,3,1.282,0.2779837819885533,"Homogeneous","One-way ANOVA",1.921,2,1084,0.14695387948253721,"Eta squared",0.004,0,1,"0.278","0.147"
"Expected restoration outcomes","Educational attainment",873,3,3.988,0.018871897859060745,"Unequal","Welch ANOVA",2.071,2,248.356,0.12817047324382694,"Eta squared",0.005,0,1,"0.019","0.128"
"Expected restoration outcomes","Forest- or environment-related organisation membership",873,2,0.279,0.5977796598748887,"Homogeneous","Independent-samples t-test",1.625,871,,0.1045392700340704,"Cohen's d",0.148,-0.031,0.326,"0.598","0.105"
"Expected restoration outcomes","Forest- or environment-related profession",873,2,0.236,0.6272981434916931,"Homogeneous","Independent-samples t-test",1.506,871,,0.132315108174276,"Cohen's d",0.165,-0.05,0.38,"0.627","0.132"
"Expected restoration outcomes","Forest ownership",873,2,0.081,0.7757110876640239,"Homogeneous","Independent-samples t-test",-2.177,871,,0.02972929021352354,"Cohen's d",-0.279,-0.53,-0.027,"0.776","0.030"
"Expected restoration outcomes","Frequency of forest visits",873,3,0.57,0.5657648796892059,"Homogeneous","One-way ANOVA",2.202,2,870,0.11119539443449487,"Eta squared",0.005,0,1,"0.566","0.111"
"Expected restoration outcomes","Gender",873,2,4.208,0.04053501830832942,"Unequal","Welch t-test",0.555,833.583,,0.5788745450215851,"Cohen's d",0.038,-0.095,0.171,"0.041","0.579"
"Expected restoration outcomes","Awareness of local restoration programmes",873,2,0.125,0.7242721376047653,"Homogeneous","Independent-samples t-test",0.382,871,,0.7022410197474342,"Cohen's d",0.028,-0.116,0.173,"0.724","0.702"
"Expected restoration outcomes","Social proximity to forest ownership",873,3,0.599,0.5495545287047912,"Homogeneous","One-way ANOVA",0.58,2,870,0.560109815220604,"Eta squared",0.001,0,1,"0.550","0.560"
"Expected restoration outcomes","Travel time to forest",873,3,0.413,0.6619557103349891,"Homogeneous","One-way ANOVA",1.996,2,870,0.13652243258834532,"Eta squared",0.005,0,1,"0.662","0.137"
"Public support for restoration","Educational attainment",1076,3,1.253,0.2859865278602119,"Homogeneous","One-way ANOVA",2.578,2,1073,0.07638992707397715,"Eta squared",0.005,0,1,"0.286","0.076"
"Public support for restoration","Forest- or environment-related organisation membership",1076,2,1.276,0.25897192321379886,"Homogeneous","Independent-samples t-test",-7.091,1074,,2.4124243071093972e-12,"Cohen's d",-0.619,-0.792,-0.446,"0.259","<0.001"
"Public support for restoration","Forest- or environment-related profession",1076,2,0.642,0.42333022800798503,"Homogeneous","Independent-samples t-test",-2.975,1074,,0.0029950123749360336,"Cohen's d",-0.321,-0.533,-0.109,"0.423","0.003"
"Public support for restoration","Forest ownership",1076,2,2.12,0.14569926668394012,"Homogeneous","Independent-samples t-test",-0.212,1074,,0.8324107571287166,"Cohen's d",-0.026,-0.265,0.213,"0.146","0.832"
"Public support for restoration","Frequency of forest visits",1076,3,1.893,0.15110144229784409,"Homogeneous","One-way ANOVA",42.532,2,1073,1.6757876359264439e-18,"Eta squared",0.073,0.05,1,"0.151","<0.001"
"Public support for restoration","Gender",1076,2,0.317,0.5733704844546963,"Homogeneous","Independent-samples t-test",0.29,1074,,0.7716668062979267,"Cohen's d",0.018,-0.102,0.137,"0.573","0.772"
"Public support for restoration","Awareness of local restoration programmes",1076,2,2.183,0.13982326787121815,"Homogeneous","Independent-samples t-test",4.732,1074,,2.518538060212708e-6,"Cohen's d",0.327,0.191,0.463,"0.140","<0.001"
"Public support for restoration","Social proximity to forest ownership",1076,3,0.491,0.6118462080502839,"Homogeneous","One-way ANOVA",5.388,2,1073,0.004695812572314392,"Eta squared",0.01,0.002,1,"0.612","0.005"
"Public support for restoration","Travel time to forest",1076,3,1.261,0.2836641200784494,"Homogeneous","One-way ANOVA",3.1,2,1073,0.045460880412136646,"Eta squared",0.006,0,1,"0.284","0.045"
"Perceived restoration implementation","Educational attainment",858,3,0.169,0.8441646793414639,"Homogeneous","One-way ANOVA",0.109,2,855,0.8968897181212347,"Eta squared",0,0,1,"0.844","0.897"
"Perceived restoration implementation","Forest- or environment-related organisation membership",858,2,1.801,0.17997058316801387,"Homogeneous","Independent-samples t-test",-1.44,856,,0.15027149505384474,"Cohen's d",-0.131,-0.31,0.048,"0.180","0.150"
