"Outcome","Explanatory_variable","Posthoc_test","Comparison","Difference","95% CI","p_adjusted_display"
"Perceived importance of ecosystem services","Educational attainment","Games-Howell","School-level or other education vs Professional/vocational training",0.476,"0.082 to 0.870","0.013"
"Perceived importance of ecosystem services","Educational attainment","Games-Howell","School-level or other education vs University",0.319,"-0.085 to 0.722","0.151"
"Perceived importance of ecosystem services","Educational attainment","Games-Howell","Professional/vocational training vs University",-0.158,"-0.367 to 0.051","0.180"
"Perceived importance of ecosystem services","Frequency of forest visits","Tukey HSD","Monthly-Less than monthly",0.057,"-0.204 to 0.319","0.864"
"Perceived importance of ecosystem services","Frequency of forest visits","Tukey HSD","Weekly or more often-Less than monthly",0.384,"0.119 to 0.649","0.002"
"Perceived importance of ecosystem services","Frequency of forest visits","Tukey HSD","Weekly or more often-Monthly",0.327,"0.099 to 0.555","0.002"
"Public support for restoration","Frequency of forest visits","Tukey HSD","Monthly-Less than monthly",0.293,"0.150 to 0.437","<0.001"
"Public support for restoration","Frequency of forest visits","Tukey HSD","Weekly or more often-Less than monthly",0.566,"0.421 to 0.711","<0.001"
"Public support for restoration","Frequency of forest visits","Tukey HSD","Weekly or more often-Monthly",0.273,"0.148 to 0.398","<0.001"
"Public support for restoration","Social proximity to forest ownership","Tukey HSD","No-Yes",-0.117,"-0.255 to 0.020","0.113"
"Public support for restoration","Social proximity to forest ownership","Tukey HSD","Don`t know-Yes",-0.291,"-0.501 to -0.081","0.003"
"Public support for restoration","Social proximity to forest ownership","Tukey HSD","Don`t know-No",-0.174,"-0.360 to 0.013","0.074"
"Public support for restoration","Travel time to forest","Tukey HSD","10–30 minutes-Under 10 minutes",0.038,"-0.081 to 0.158","0.731"
"Public support for restoration","Travel time to forest","Tukey HSD","More than 30 minutes-Under 10 minutes",0.215,"0.012 to 0.417","0.035"
"Public support for restoration","Travel time to forest","Tukey HSD","More than 30 minutes-10–30 minutes",0.176,"-0.025 to 0.378","0.099"
"Perceived restoration implementation","Frequency of forest visits","Tukey HSD","Monthly-Less than monthly",0.097,"-0.060 to 0.253","0.314"
"Perceived restoration implementation","Frequency of forest visits","Tukey HSD","Weekly or more often-Less than monthly",0.168,"0.012 to 0.324","0.031"
"Perceived restoration implementation","Frequency of forest visits","Tukey HSD","Weekly or more often-Monthly",0.072,"-0.058 to 0.201","0.397"
