"Outcome_variable","Score","Outcome"
"Ecosystem_Services_Index",5.625,"Perceived importance of ecosystem services"
"Restoration_Implementation_Index",3.769230769230769,"Perceived restoration implementation"
"Expected_Outcomes_Index",3.875,"Expected restoration outcomes"
"Public_Support_Index",3.3333333333333335,"Public support for restoration"
"Ecosystem_Services_Index",7.375,"Perceived importance of ecosystem services"
"Public_Support_Index",3.3333333333333335,"Public support for restoration"
"Ecosystem_Services_Index",8.375,"Perceived importance of ecosystem services"
"Restoration_Implementation_Index",3.857142857142857,"Perceived restoration implementation"
"Expected_Outcomes_Index",3.5625,"Expected restoration outcomes"
"Public_Support_Index",5,"Public support for restoration"
"Ecosystem_Services_Index",8.875,"Perceived importance of ecosystem services"
"Restoration_Implementation_Index",3.2857142857142856,"Perceived restoration implementation"
"Expected_Outcomes_Index",4.4375,"Expected restoration outcomes"
"Public_Support_Index",3.1666666666666665,"Public support for restoration"
"Ecosystem_Services_Index",8.125,"Perceived importance of ecosystem services"
"Restoration_Implementation_Index",2.7857142857142856,"Perceived restoration implementation"
"Expected_Outcomes_Index",4.4375,"Expected restoration outcomes"
"Public_Support_Index",3.8333333333333335,"Public support for restoration"
"Ecosystem_Services_Index",8.625,"Perceived importance of ecosystem services"
"Restoration_Implementation_Index",3.2857142857142856,"Perceived restoration implementation"
"Expected_Outcomes_Index",3.4166666666666665,"Expected restoration outcomes"
"Public_Support_Index",1.5,"Public support for restoration"
"Ecosystem_Services_Index",8,"Perceived importance of ecosystem services"
"Expected_Outcomes_Index",4.545454545454546,"Expected restoration outcomes"
"Public_Support_Index",3.5,"Public support for restoration"
"Ecosystem_Services_Index",2.5,"Perceived importance of ecosystem services"
"Restoration_Implementation_Index",3.076923076923077,"Perceived restoration implementation"
"Expected_Outcomes_Index",3,"Expected restoration outcomes"
"Public_Support_Index",2.6666666666666665,"Public support for restoration"
"Ecosystem_Services_Index",9.5,"Perceived importance of ecosystem services"
"Restoration_Implementation_Index",3,"Perceived restoration implementation"
"Expected_Outcomes_Index",3.8125,"Expected restoration outcomes"
"Public_Support_Index",2.3333333333333335,"Public support for restoration"
"Ecosystem_Services_Index",9.375,"Perceived importance of ecosystem services"
"Public_Support_Index",3,"Public support for restoration"
"Ecosystem_Services_Index",8.75,"Perceived importance of ecosystem services"
"Public_Support_Index",5,"Public support for restoration"
"Ecosystem_Services_Index",9.625,"Perceived importance of ecosystem services"
"Restoration_Implementation_Index",4.142857142857143,"Perceived restoration implementation"
"Expected_Outcomes_Index",4,"Expected restoration outcomes"
"Public_Support_Index",3.1666666666666665,"Public support for restoration"
"Ecosystem_Services_Index",10,"Perceived importance of ecosystem services"
"Restoration_Implementation_Index",4.6923076923076925,"Perceived restoration implementation"
"Expected_Outcomes_Index",4.625,"Expected restoration outcomes"
"Public_Support_Index",5,"Public support for restoration"
"Ecosystem_Services_Index",8.375,"Perceived importance of ecosystem services"
"Restoration_Implementation_Index",3,"Perceived restoration implementation"
"Expected_Outcomes_Index",4.625,"Expected restoration outcomes"
"Public_Support_Index",3,"Public support for restoration"
"Ecosystem_Services_Index",8.25,"Perceived importance of ecosystem services"
"Restoration_Implementation_Index",4,"Perceived restoration implementation"
"Public_Support_Index",3.6666666666666665,"Public support for restoration"
"Ecosystem_Services_Index",9.5,"Perceived importance of ecosystem services"
"Restoration_Implementation_Index",4.285714285714286,"Perceived restoration implementation"
"Expected_Outcomes_Index",4.5,"Expected restoration outcomes"
"Public_Support_Index",2.1666666666666665,"Public support for restoration"
"Ecosystem_Services_Index",9.25,"Perceived importance of ecosystem services"
"Restoration_Implementation_Index",3.5714285714285716,"Perceived restoration implementation"
"Expected_Outcomes_Index",3.5625,"Expected restoration outcomes"
"Public_Support_Index",4,"Public support for restoration"
"Ecosystem_Services_Index",9,"Perceived importance of ecosystem services"
"Restoration_Implementation_Index",4.428571428571429,"Perceived restoration implementation"
"Expected_Outcomes_Index",4.25,"Expected restoration outcomes"
"Public_Support_Index",2.8333333333333335,"Public support for restoration"
"Ecosystem_Services_Index",7.375,"Perceived importance of ecosystem services"
"Restoration_Implementation_Index",4.142857142857143,"Perceived restoration implementation"
