"Predictor_variable","Predictor_label","Outcome_variable","Outcome_label"
"F21","Years living in the local area","Ecosystem_Services_Index","Perceived importance of ecosystem services"
"F21","Years living in the local area","Expected_Outcomes_Index","Expected restoration outcomes"
"F21","Years living in the local area","Public_Support_Index","Public support for restoration"
"F21","Years living in the local area","Restoration_Implementation_Index","Perceived restoration implementation"
"F24","Age","Ecosystem_Services_Index","Perceived importance of ecosystem services"
"F24","Age","Expected_Outcomes_Index","Expected restoration outcomes"
"F24","Age","Public_Support_Index","Public support for restoration"
"F24","Age","Restoration_Implementation_Index","Perceived restoration implementation"
"Nature_Connectedness_Index","Nature connectedness","Ecosystem_Services_Index","Perceived importance of ecosystem services"
"Nature_Connectedness_Index","Nature connectedness","Expected_Outcomes_Index","Expected restoration outcomes"
"Nature_Connectedness_Index","Nature connectedness","Public_Support_Index","Public support for restoration"
"Nature_Connectedness_Index","Nature connectedness","Restoration_Implementation_Index","Perceived restoration implementation"
