"Predictor_variable","Predictor","Outcome_variable","Outcome","Valid_n","Pearson_r","Pearson_CI_lower","Pearson_CI_upper","Pearson_p","Spearman_rho","Spearman_p"
"F21","Years living in the local area","Ecosystem_Services_Index","Perceived importance of ecosystem services",1077,0.0880386679248978,0.02845334183793105,0.1470005558177536,0.003834252319099675,0.0834062727474473,0.006166483161193362
"F21","Years living in the local area","Expected_Outcomes_Index","Expected restoration outcomes",865,-0.01731871786140476,-0.08387953406725608,0.049395954902604025,0.6109903090728694,-0.021155818158828235,0.5343489212658541
"F21","Years living in the local area","Public_Support_Index","Public support for restoration",1067,0.036580237136386244,-0.023485665246955813,0.09638298720258846,0.23252053179834056,0.04327497877516665,0.15777908985343272
"F21","Years living in the local area","Restoration_Implementation_Index","Perceived restoration implementation",851,-6.816829264869933e-4,-0.06788256477081123,0.06652535638848275,0.9841576373441581,-0.026215824055788848,0.44500271698346516
"F24","Age","Ecosystem_Services_Index","Perceived importance of ecosystem services",1087,0.22376716962975524,0.16652332844423356,0.2795077450233722,8.400701540960492e-14,0.21780837433063518,3.8667158884437697e-13
"F24","Age","Expected_Outcomes_Index","Expected restoration outcomes",873,0.003439426899471836,-0.06292630711050631,0.06977487707944566,0.9191710408217295,-0.004777342714134202,0.8879073347553597
"F24","Age","Public_Support_Index","Public support for restoration",1076,0.009812582136862192,-0.04997945168520276,0.06953452977595488,0.7478237541285756,0.01729688425460993,0.5708752768095744
"F24","Age","Restoration_Implementation_Index","Perceived restoration implementation",858,0.009351429612306396,-0.05761377777385204,0.07623286463153203,0.7844494245972782,-0.001889617379953605,0.9559238851114022
"Nature_Connectedness_Index","Nature connectedness","Ecosystem_Services_Index","Perceived importance of ecosystem services",1087,0.475433240395991,0.4280750465986063,0.5201875073079152,2.1699887858150276e-62,0.46702487676155546,5.548948605621098e-60
"Nature_Connectedness_Index","Nature connectedness","Expected_Outcomes_Index","Expected restoration outcomes",873,0.24894400339168904,0.1856593088181294,0.3101720247443357,8.476806993830057e-14,0.2711039344576499,3.5837272405959783e-16
"Nature_Connectedness_Index","Nature connectedness","Public_Support_Index","Public support for restoration",1076,0.3692047365074482,0.3164238022135969,0.41970676517427163,4.3667583213436876e-36,0.39140030199839215,1.0266607254342321e-40
"Nature_Connectedness_Index","Nature connectedness","Restoration_Implementation_Index","Perceived restoration implementation",858,0.15044766667940568,0.08436804886388383,0.21520979523222014,9.615374928681775e-6,0.1473901230715951,1.4595982452036381e-5
