"Predictor","Outcome","Valid_n","Pearson's r (95% CI)","p-value"
"Years living in the local area","Perceived importance of ecosystem services",1077,"0.088 (0.028 to 0.147)","0.004"
"Years living in the local area","Expected restoration outcomes",865,"-0.017 (-0.084 to 0.049)","0.611"
"Years living in the local area","Public support for restoration",1067,"0.037 (-0.023 to 0.096)","0.233"
"Years living in the local area","Perceived restoration implementation",851,"-0.001 (-0.068 to 0.067)","0.984"
"Age","Perceived importance of ecosystem services",1087,"0.224 (0.167 to 0.280)","<0.001"
"Age","Expected restoration outcomes",873,"0.003 (-0.063 to 0.070)","0.919"
"Age","Public support for restoration",1076,"0.010 (-0.050 to 0.070)","0.748"
"Age","Perceived restoration implementation",858,"0.009 (-0.058 to 0.076)","0.784"
"Nature connectedness","Perceived importance of ecosystem services",1087,"0.475 (0.428 to 0.520)","<0.001"
"Nature connectedness","Expected restoration outcomes",873,"0.249 (0.186 to 0.310)","<0.001"
"Nature connectedness","Public support for restoration",1076,"0.369 (0.316 to 0.420)","<0.001"
"Nature connectedness","Perceived restoration implementation",858,"0.150 (0.084 to 0.215)","<0.001"
