"Predictor","Outcome","Valid_n","Spearman_rho","Spearman_p_display"
"Years living in the local area","Perceived importance of ecosystem services",1077,0.083,"0.006"
"Years living in the local area","Expected restoration outcomes",865,-0.021,"0.534"
"Years living in the local area","Public support for restoration",1067,0.043,"0.158"
"Years living in the local area","Perceived restoration implementation",851,-0.026,"0.445"
"Age","Perceived importance of ecosystem services",1087,0.218,"<0.001"
"Age","Expected restoration outcomes",873,-0.005,"0.888"
"Age","Public support for restoration",1076,0.017,"0.571"
"Age","Perceived restoration implementation",858,-0.002,"0.956"
"Nature connectedness","Perceived importance of ecosystem services",1087,0.467,"<0.001"
"Nature connectedness","Expected restoration outcomes",873,0.271,"<0.001"
"Nature connectedness","Public support for restoration",1076,0.391,"<0.001"
"Nature connectedness","Perceived restoration implementation",858,0.147,"<0.001"
