"Domain","Explanatory_variable","Dataset_variable","Variable_type","Proposed_analysis"
"Demographic characteristics","Age","F24","Continuous","Pearson correlation"
"Demographic characteristics","Gender","Gender","Categorical","Two-group comparison"
"Demographic characteristics","Educational attainment","Education_group","Categorical","Multi-group comparison"
"Forest experience","Frequency of forest visits","Forest_visit_group","Ordinal categorical","Multi-group comparison"
"Forest experience","Travel time to forest","Travel_time_group","Ordinal categorical","Multi-group comparison"
"Forest experience","Years living in the local area","F21","Continuous","Pearson correlation"
"Forest engagement","Awareness of local restoration programmes","Restoration_awareness","Categorical","Two-group comparison"
"Stakeholder relationship and environmental engagement","Forest ownership","Forest_owner","Categorical","Two-group comparison"
"Stakeholder relationship and environmental engagement","Social proximity to forest ownership","Social_proximity_to_owner","Categorical","Multi-group comparison"
"Stakeholder relationship and environmental engagement","Forest- or environment-related profession","Environmental_profession","Categorical","Two-group comparison"
"Stakeholder relationship and environmental engagement","Forest- or environment-related organisation membership","Environmental_organisation","Categorical","Two-group comparison"
"Environmental orientation","Nature connectedness","Nature_Connectedness_Index","Continuous","Pearson correlation"
