"Item","Response_category","n","Valid_n","Percent"
"Introduction of fire breaks","Never",128,661,19.36459909228442
"Introduction of fire breaks","Rarely",159,661,24.05446293494705
"Introduction of fire breaks","Sometimes",182,661,27.534039334341905
"Introduction of fire breaks","Often",124,661,18.759455370650528
"Introduction of fire breaks","Always",68,661,10.287443267776096
"Improving forest connectivity","Never",74,675,10.962962962962964
"Improving forest connectivity","Rarely",175,675,25.925925925925927
"Improving forest connectivity","Sometimes",197,675,29.185185185185187
"Improving forest connectivity","Often",156,675,23.11111111111111
"Improving forest connectivity","Always",73,675,10.814814814814815
"Restricting the harvesting of forest products","Never",42,651,6.451612903225806
"Restricting the harvesting of forest products","Rarely",151,651,23.195084485407065
"Restricting the harvesting of forest products","Sometimes",232,651,35.63748079877112
"Restricting the harvesting of forest products","Often",160,651,24.577572964669738
"Restricting the harvesting of forest products","Always",66,651,10.138248847926267
"Re-introduction of native animal species","Never",45,795,5.660377358490566
"Re-introduction of native animal species","Rarely",200,795,25.157232704402517
"Re-introduction of native animal species","Sometimes",272,795,34.21383647798742
"Re-introduction of native animal species","Often",189,795,23.77358490566038
"Re-introduction of native animal species","Always",89,795,11.19496855345912
"Reforestation of fallow agricultural land","Never",49,828,5.917874396135265
"Reforestation of fallow agricultural land","Rarely",177,828,21.3768115942029
"Reforestation of fallow agricultural land","Sometimes",293,828,35.38647342995169
"Reforestation of fallow agricultural land","Often",244,828,29.468599033816425
"Reforestation of fallow agricultural land","Always",65,828,7.85024154589372
"Reducing fuel loads to minimise fire risk","Never",39,718,5.43175487465181
"Reducing fuel loads to minimise fire risk","Rarely",162,718,22.56267409470752
"Reducing fuel loads to minimise fire risk","Sometimes",251,718,34.958217270194986
"Reducing fuel loads to minimise fire risk","Often",183,718,25.487465181058496
"Reducing fuel loads to minimise fire risk","Always",83,718,11.559888579387186
"Changing the type of forest management","Never",35,681,5.139500734214391
"Changing the type of forest management","Rarely",130,681,19.08957415565345
"Changing the type of forest management","Sometimes",253,681,37.15124816446402
"Changing the type of forest management","Often",180,681,26.431718061674008
"Changing the type of forest management","Always",83,681,12.187958883994126
"Improving forest access for recreation","Never",27,915,2.9508196721311477
"Improving forest access for recreation","Rarely",134,915,14.6448087431694
"Improving forest access for recreation","Sometimes",319,915,34.86338797814208
"Improving forest access for recreation","Often",302,915,33.005464480874316
"Improving forest access for recreation","Always",133,915,14.53551912568306
"Removal of invasive species","Never",30,833,3.6014405762304924
"Removal of invasive species","Rarely",107,833,12.845138055222089
"Removal of invasive species","Sometimes",281,833,33.73349339735894
"Removal of invasive species","Often",292,833,35.05402160864346
"Removal of invasive species","Always",123,833,14.765906362545017
"Reforestation after natural disasters","Never",30,868,3.456221198156682
"Reforestation after natural disasters","Rarely",121,868,13.940092165898617
"Reforestation after natural disasters","Sometimes",262,868,30.18433179723502
"Reforestation after natural disasters","Often",287,868,33.064516129032256
"Reforestation after natural disasters","Always",168,868,19.35483870967742
"Replanting a mix of tree species","Never",18,829,2.1712907117008444
"Replanting a mix of tree species","Rarely",78,829,9.408926417370326
"Replanting a mix of tree species","Sometimes",289,829,34.86127864897467
"Replanting a mix of tree species","Often",313,829,37.75633293124246
"Replanting a mix of tree species","Always",131,829,15.802171290711701
"Re-introduction of native tree species","Never",16,836,1.9138755980861244
"Re-introduction of native tree species","Rarely",87,836,10.4066985645933
"Re-introduction of native tree species","Sometimes",276,836,33.014354066985646
"Re-introduction of native tree species","Often",323,836,38.63636363636363
"Re-introduction of native tree species","Always",134,836,16.028708133971293
"Reforestation of previously deforested areas","Never",16,923,1.733477789815818
"Reforestation of previously deforested areas","Rarely",76,923,8.234019501625136
"Reforestation of previously deforested areas","Sometimes",306,923,33.15276273022752
"Reforestation of previously deforested areas","Often",363,923,39.32827735644637
"Reforestation of previously deforested areas","Always",162,923,17.551462621885157
"Retention of deadwood","Never",14,917,1.5267175572519085
"Retention of deadwood","Rarely",74,917,8.069792802617231
"Retention of deadwood","Sometimes",230,917,25.081788440567067
"Retention of deadwood","Often",404,917,44.0567066521265
"Retention of deadwood","Always",195,917,21.264994547437297
