"Item","Response_category","n","Valid_n","Percent"
"Opportunities for hunting and fishing","Significantly reduces",32,688,4.651162790697675
"Opportunities for hunting and fishing","Moderately reduces",78,688,11.337209302325581
"Opportunities for hunting and fishing","No significant impact",280,688,40.69767441860465
"Opportunities for hunting and fishing","Moderately enhances",177,688,25.726744186046513
"Opportunities for hunting and fishing","Significantly enhances",121,688,17.587209302325583
"Wood for timber","Significantly reduces",21,659,3.1866464339908953
"Wood for timber","Moderately reduces",83,659,12.5948406676783
"Wood for timber","No significant impact",240,659,36.41881638846738
"Wood for timber","Moderately enhances",207,659,31.411229135053112
"Wood for timber","Significantly enhances",108,659,16.38846737481032
"Firewood","Significantly reduces",23,699,3.290414878397711
"Firewood","Moderately reduces",65,699,9.298998569384835
"Firewood","No significant impact",242,699,34.620886981402
"Firewood","Moderately enhances",248,699,35.479256080114446
"Firewood","Significantly enhances",121,699,17.310443490701
"Ornamental plants","Significantly reduces",26,792,3.282828282828283
"Ornamental plants","Moderately reduces",62,792,7.828282828282828
"Ornamental plants","No significant impact",287,792,36.23737373737374
"Ornamental plants","Moderately enhances",257,792,32.44949494949495
"Ornamental plants","Significantly enhances",160,792,20.2020202020202
"Wild edible fruits","Significantly reduces",11,743,1.4804845222072678
"Wild edible fruits","Moderately reduces",53,743,7.133243606998654
"Wild edible fruits","No significant impact",275,743,37.01211305518169
"Wild edible fruits","Moderately enhances",261,743,35.1278600269179
"Wild edible fruits","Significantly enhances",143,743,19.24629878869448
"Berries","Significantly reduces",8,794,1.0075566750629723
"Berries","Moderately reduces",43,794,5.415617128463476
"Berries","No significant impact",242,794,30.478589420654913
"Berries","Moderately enhances",328,794,41.30982367758186
"Berries","Significantly enhances",173,794,21.788413098236777
"Mushrooms","Significantly reduces",12,781,1.5364916773367479
"Mushrooms","Moderately reduces",52,781,6.658130601792574
"Mushrooms","No significant impact",217,781,27.784891165172855
"Mushrooms","Moderately enhances",301,781,38.54033290653009
"Mushrooms","Significantly enhances",199,781,25.480153649167733
"Animal fodder","Significantly reduces",17,794,2.141057934508816
"Animal fodder","Moderately reduces",56,794,7.052896725440806
"Animal fodder","No significant impact",203,794,25.56675062972292
"Animal fodder","Moderately enhances",283,794,35.642317380352644
"Animal fodder","Significantly enhances",235,794,29.596977329974813
"Outdoor recreation opportunities","Significantly reduces",12,906,1.3245033112582782
"Outdoor recreation opportunities","Moderately reduces",65,906,7.17439293598234
"Outdoor recreation opportunities","No significant impact",239,906,26.379690949227374
"Outdoor recreation opportunities","Moderately enhances",320,906,35.32008830022075
"Outdoor recreation opportunities","Significantly enhances",270,906,29.801324503311257
"Social and family activities","Significantly reduces",7,890,0.7865168539325843
"Social and family activities","Moderately reduces",50,890,5.617977528089888
"Social and family activities","No significant impact",263,890,29.55056179775281
"Social and family activities","Moderately enhances",314,890,35.28089887640449
"Social and family activities","Significantly enhances",256,890,28.764044943820224
"Aesthetic views","Significantly reduces",8,914,0.87527352297593
"Aesthetic views","Moderately reduces",45,914,4.923413566739606
"Aesthetic views","No significant impact",241,914,26.367614879649892
"Aesthetic views","Moderately enhances",306,914,33.479212253829324
"Aesthetic views","Significantly enhances",314,914,34.354485776805255
"Temperature regulation","Significantly reduces",11,870,1.264367816091954
"Temperature regulation","Moderately reduces",37,870,4.252873563218391
"Temperature regulation","No significant impact",158,870,18.160919540229884
"Temperature regulation","Moderately enhances",322,870,37.01149425287356
"Temperature regulation","Significantly enhances",342,870,39.310344827586206
"Clean water","Significantly reduces",6,821,0.730816077953715
"Clean water","Moderately reduces",32,821,3.89768574908648
"Clean water","No significant impact",161,821,19.610231425091353
"Clean water","Moderately enhances",302,821,36.78440925700365
"Clean water","Significantly enhances",320,821,38.9768574908648
"Forest beauty and aesthetics","Significantly reduces",12,908,1.3215859030837005
"Forest beauty and aesthetics","Moderately reduces",39,908,4.295154185022026
"Forest beauty and aesthetics","No significant impact",175,908,19.273127753303964
"Forest beauty and aesthetics","Moderately enhances",300,908,33.03964757709251
"Forest beauty and aesthetics","Significantly enhances",382,908,42.070484581497794
"Habitat for biodiversity","Significantly reduces",14,879,1.5927189988623436
"Habitat for biodiversity","Moderately reduces",47,879,5.346985210466439
"Habitat for biodiversity","No significant impact",124,879,14.10693970420933
"Habitat for biodiversity","Moderately enhances",308,879,35.039817974971555
"Habitat for biodiversity","Significantly enhances",386,879,43.91353811149033
"Fresh air","Significantly reduces",11,894,1.2304250559284116
"Fresh air","Moderately reduces",29,894,3.243847874720358
"Fresh air","No significant impact",141,894,15.771812080536913
"Fresh air","Moderately enhances",297,894,33.22147651006711
"Fresh air","Significantly enhances",416,894,46.5324384787472
