"Item","Response_category","n","Valid_n","Percent"
"Donating money to restoration projects","Completely disagree",126,1076,11.71003717472119
"Donating money to restoration projects","Slightly disagree",196,1076,18.21561338289963
"Donating money to restoration projects","Neither agree nor disagree",373,1076,34.66542750929368
"Donating money to restoration projects","Slightly agree",305,1076,28.345724907063197
"Donating money to restoration projects","Completely agree",76,1076,7.063197026022305
"Participating in awareness campaigns","Completely disagree",104,1076,9.66542750929368
"Participating in awareness campaigns","Slightly disagree",233,1076,21.654275092936803
"Participating in awareness campaigns","Neither agree nor disagree",333,1076,30.947955390334574
"Participating in awareness campaigns","Slightly agree",318,1076,29.55390334572491
"Participating in awareness campaigns","Completely agree",88,1076,8.178438661710038
"Volunteering for tree planting and maintenance","Completely disagree",93,1076,8.643122676579926
"Volunteering for tree planting and maintenance","Slightly disagree",210,1076,19.516728624535315
"Volunteering for tree planting and maintenance","Neither agree nor disagree",258,1076,23.977695167286246
"Volunteering for tree planting and maintenance","Slightly agree",394,1076,36.61710037174721
"Volunteering for tree planting and maintenance","Completely agree",121,1076,11.245353159851302
"Participating in community restoration initiatives","Completely disagree",76,1076,7.063197026022305
"Participating in community restoration initiatives","Slightly disagree",170,1076,15.799256505576208
"Participating in community restoration initiatives","Neither agree nor disagree",307,1076,28.53159851301115
"Participating in community restoration initiatives","Slightly agree",404,1076,37.54646840148699
"Participating in community restoration initiatives","Completely agree",119,1076,11.059479553903346
"Advocating for forest restoration policies","Completely disagree",77,1076,7.156133828996283
"Advocating for forest restoration policies","Slightly disagree",153,1076,14.219330855018587
"Advocating for forest restoration policies","Neither agree nor disagree",244,1076,22.676579925650557
"Advocating for forest restoration policies","Slightly agree",404,1076,37.54646840148699
"Advocating for forest restoration policies","Completely agree",198,1076,18.401486988847584
"Supporting public funding for forest restoration","Completely disagree",42,1076,3.903345724907063
"Supporting public funding for forest restoration","Slightly disagree",77,1076,7.156133828996283
"Supporting public funding for forest restoration","Neither agree nor disagree",223,1076,20.724907063197026
"Supporting public funding for forest restoration","Slightly agree",520,1076,48.3271375464684
"Supporting public funding for forest restoration","Completely agree",214,1076,19.888475836431226
