"Characteristic","Category","n","Percent","Value"
"Age, years","Mean (SD)",1087,,"48.8 (16.7)"
"","Median (range)",,,"49.0 (18–91)"
"Gender","Female",547,50.3,
"Gender","Male",540,49.7,
"Educational attainment","Primary school",21,1.9,
"Educational attainment","Secondary school (incl. gymnasium, high school etc.))",85,7.8,
"Educational attainment","Professional/vocational training",606,55.7,
"Educational attainment","University",365,33.6,
"Educational attainment","Others",10,0.9,
"Forest visitation frequency","Not at all",28,2.6,
"Forest visitation frequency","Less than once a month",223,20.5,
"Forest visitation frequency","1-3 times a month",434,39.9,
"Forest visitation frequency","1–2 times a week",247,22.7,
"Forest visitation frequency","3–7 times a week",155,14.3,
"Travel time to forest","Under 10 minutes",473,43.5,
"Travel time to forest","10–30 minutes",510,46.9,
"Travel time to forest","30 minutes –1 hour",90,8.3,
"Travel time to forest","Longer than 1 hour",14,1.3,
"Years living in the local area","Mean (SD)",1077,,"23.2 (18.4)"
"","Median (range)",,,"20.0 (0–80)"
"Awareness of local restoration programmes","Yes",289,26.6,
"Awareness of local restoration programmes","No",798,73.4,
"Forest ownership","Yes",74,6.8,
"Forest ownership","No",1013,93.2,
"Relative or close friend owns a forest","Yes",245,22.5,
"Relative or close friend owns a forest","No",725,66.7,
"Relative or close friend owns a forest","Don`t know",117,10.8,
"Forest- or environment-related profession","Environment or nature protection",31,2.9,
"Forest- or environment-related profession","Farming",62,5.7,
"Forest- or environment-related profession","Forestry",22,2,
"Forest- or environment-related profession","None of the above",991,91.2,
"Membership of a forest- or environment-related organisation","Environment or nature protection",101,9.3,
"Membership of a forest- or environment-related organisation","Farming",49,4.5,
"Membership of a forest- or environment-related organisation","Forestry",21,1.9,
"Membership of a forest- or environment-related organisation","None of the above",931,85.6,
