"Rank","Item","Valid_n","Mean (SD)"
1,"Retention of deadwood",917,"3.75 (0.93)"
2,"Reforestation of previously deforested areas",923,"3.63 (0.92)"
3,"Re-introduction of native tree species",836,"3.56 (0.94)"
4,"Replanting a mix of tree species",829,"3.56 (0.94)"
5,"Reforestation after natural disasters",868,"3.51 (1.06)"
6,"Removal of invasive species",833,"3.45 (1.01)"
7,"Improving forest access for recreation",915,"3.42 (1.00)"
8,"Changing the type of forest management",681,"3.21 (1.05)"
9,"Reducing fuel loads to minimise fire risk",718,"3.15 (1.07)"
10,"Reforestation of fallow agricultural land",828,"3.12 (1.02)"
11,"Re-introduction of native animal species",795,"3.10 (1.07)"
12,"Restricting the harvesting of forest products",651,"3.09 (1.07)"
13,"Improving forest connectivity",675,"2.97 (1.17)"
14,"Introduction of fire breaks",661,"2.77 (1.25)"
