"Rank","Item","Valid_n","Mean (SD)"
1,"Fresh air",894,"4.21 (0.91)"
2,"Habitat for species",879,"4.14 (0.96)"
3,"Forest beauty and aesthetics",908,"4.10 (0.95)"
4,"Clean water",821,"4.09 (0.89)"
5,"Cooler temperature",870,"4.09 (0.92)"
6,"Aesthetic views",914,"3.96 (0.94)"
7,"Space for social activities",890,"3.86 (0.93)"
8,"Space for outdoor recreation",906,"3.85 (0.97)"
9,"Food for animals",794,"3.84 (1.00)"
10,"Mushrooms",781,"3.80 (0.95)"
11,"Berries",794,"3.77 (0.88)"
12,"Other edible fruits",743,"3.64 (0.92)"
13,"Ornamental plants",792,"3.58 (1.00)"
14,"Firewood",699,"3.54 (0.99)"
15,"Wood for timber",659,"3.45 (1.01)"
16,"Space for hunting and fishing",688,"3.40 (1.05)"
