"Variable","Missing","Percent"
"record",0,0
"date",0,0
"status",0,0
"s1",0,0
"s2",0,0
"F24",0,0
"F25",0,0
"F26",0,0
"F27",0,0
"F1a",0,0
"F1b",0,0
"F1br5oe",0,0
"F1c",0,0
"markers_IDr1",0,0
"markers_IDr2",0,0
"markers_IDr3",0,0
"F3",0,0
"F4r1",0,0
"F4r2",0,0
"F4r3",0,0
"F4r4",0,0
"F4r5",0,0
"F4r6",0,0
"F4r7",0,0
"F4r8",0,0
"F4r7oe",0,0
"F5r1",0,0
"F5r2",0,0
"F5r3",0,0
"F5r4",0,0
"F5r5",0,0
"F5r6",0,0
"F5r7",0,0
"F5r8",0,0
"F6",0,0
"F7a",0,0
"F7br1",8,0.74
"F7br2",8,0.74
"F7br3",8,0.74
"F7br4",8,0.74
"F7br5",8,0.74
"F7br6",8,0.74
"F7br7",8,0.74
"F7br7oe",0,0
"F8",0,0
"F9",0,0
"F10a",0,0
"F10br1",227,20.88
"F10br2",227,20.88
"F10br3",227,20.88
"F10br4",227,20.88
"F10br5",227,20.88
"F10br5oe",0,0
"F11a",0,0
"F11br1",207,19.04
"F11br2",207,19.04
"F11br3",207,19.04
"F11br4",207,19.04
"F11br5",207,19.04
"F11br6",207,19.04
"F11br7",207,19.04
"F11br7oe",0,0
"F12",0,0
"F13a",0,0
"F13br1",0,0
"F13br2",0,0
"F13br3",0,0
"F13br4",0,0
"F13br4oe",0,0
"F14",0,0
"F15r1",0,0
"F15r2",0,0
"F15r3",0,0
"F15r4",0,0
"F15r5",0,0
"F15r6",0,0
"F15r7",0,0
"F15r8",0,0
"F15r9",0,0
"F15r10",0,0
"F15r11",0,0
"F15r12",0,0
"F15r13",0,0
"F15r14",0,0
"F16a",0,0
"F16br1",11,1.01
"F16br2",11,1.01
"F16br3",11,1.01
"F16br4",11,1.01
"F16br5",11,1.01
"F16br6",11,1.01
"F17r1",0,0
"F17r2",0,0
"F17r3",0,0
"F17r4",0,0
"F17r5",0,0
"F17r6",0,0
"F17r7",0,0
"F17r8",0,0
"F17r9",0,0
"F17r10",0,0
"F17r11",0,0
"F17r12",0,0
"F17r13",0,0
"F17r14",0,0
"F17r15",0,0
"F17r16",0,0
"F18r1",0,0
"F18r2",0,0
"F18r3",0,0
"F18r4",0,0
"F18r5",0,0
"F18r6",0,0
"F18r7",0,0
"F19r1",0,0
"F19r2",0,0
"F19r3",0,0
"F19r4",0,0
"F20r1",0,0
"F20r2",0,0
"F20r3",0,0
"F20r4",0,0
"F21",0,0
"F22",0,0
"F23",0,0
"vlist",0,0
"qtime",0,0
