"Variable","Dont_know_before","Value_6_after","Missing_after"
"F15r1",164,0,164
"F15r2",259,0,259
"F15r3",219,0,219
"F15r4",251,0,251
"F15r5",292,0,292
"F15r6",254,0,254
"F15r7",426,0,426
"F15r8",170,0,170
"F15r9",258,0,258
"F15r10",412,0,412
"F15r11",172,0,172
"F15r12",436,0,436
"F15r13",369,0,369
"F15r14",406,0,406
"F17r1",388,0,388
"F17r2",428,0,428
"F17r3",293,0,293
"F17r4",295,0,295
"F17r5",293,0,293
"F17r6",344,0,344
"F17r7",306,0,306
"F17r8",208,0,208
"F17r9",179,0,179
"F17r10",217,0,217
"F17r11",193,0,193
"F17r12",266,0,266
"F17r13",399,0,399
"F17r14",181,0,181
"F17r15",197,0,197
"F17r16",173,0,173
